Column,word,desc,time,lang,pos
107,agro,"agro
                  m.
                  
                  (Noun)
                  ""field""
               
                    Very late 16th cent. From Vulgar Latin *acrus 'id.' From Latin ager 'id.'
                    From Proto-Italic *agro- 'id.' From Proto-Indo-European *h2eǵ-ro- 'id.'
                 

Indo-European




Romance
Asturian agru, Portuguese agro, Catalan agre, Old French aire, Italian acro, Aromanian acru, Romanian acru, Sardinian akru


Italic
Umbrian ager ""field,"" South Picene akren ""on the land""


Germanic
Gothic akrs ""field,"" Old Norse akr 'id.,' Old High German ackar 'id.,' Old Saxon akkar 'id.,' English acre


Hellenic
Ancient Greek ἀγρός (agrós) ""field,"" Mycenaean a-ko-ro 'id.'


Armenian
Armenian art ""field""


Indo-Iranian
Sanskrit ájra- ""field""

 
Indo-European

 
Romance
Asturian agru, Portuguese agro, Catalan agre, Old French aire, Italian acro, Aromanian acru, Romanian acru, Sardinian akru
 
Italic
Umbrian ager ""field,"" South Picene akren ""on the land""
 
Germanic
Gothic akrs ""field,"" Old Norse akr 'id.,' Old High German ackar 'id.,' Old Saxon akkar 'id.,' English acre
 
Hellenic
Ancient Greek ἀγρός (agrós) ""field,"" Mycenaean a-ko-ro 'id.'
 
Armenian
Armenian art ""field""
 
Indo-Iranian
Sanskrit ájra- ""field""",16th cent.,Vulgar Latin,Noun
108,agua,"agua
                  f.
                  
                  (Noun)
                  ""water""
               
                    10th cent. From Vulgar Latin acqua 'id.' From Latin aqua 'id.'
                    From Proto-Italic *akwā- 'id.' From Proto-Indo-European *h2ékw-eh2 'id.' Connected to *h2ep- ""water,"" but it is impossible to know whether *h2ekw- or *h2ep- is original. Transitioning between /kw/ and /p/ is a common sound change.
                 
                  As a surname Agua, it was applied to families located near founts and other sources of water. 
                 

Indo-European




Romance
Asturian agua, Portuguese água, Galician auga, Catalan aigua, Occitan aiga, French eau (Old French ewe, egua), Italian acqua, Aromanian apã, Romanian apă, Megleno ápu, Sardinian abba.


Germanic
Gothic aƕa ""river,"" Old Norse á 'id.,' Old Saxon aha ""water,"" Old High German aha 'id.,' Old English ea ""stream""

 
Indo-European

 
Romance
Asturian agua, Portuguese água, Galician auga, Catalan aigua, Occitan aiga, French eau (Old French ewe, egua), Italian acqua, Aromanian apã, Romanian apă, Megleno ápu, Sardinian abba.
 
Germanic
Gothic aƕa ""river,"" Old Norse á 'id.,' Old Saxon aha ""water,"" Old High German aha 'id.,' Old English ea ""stream""",10th cent.,Vulgar Latin,Noun
109,aguacate,"aguacate
                  m.
                  
                  (Noun)
                  ""avocado,"" ""avocado tree""
               
                    16th cent. From Nahuatl ahuacatl ""testicle,"" the fruit so-named as an analogy for its shape.",16th cent.,Nahuatl,Noun
110,aguantar,"aguantar
                  
                  
                  (Verb)
                  ""to hold;"" ""to endure""
               
                    16th cent. borrowing from Italian agguantare ""to grab."" The sense evolution was from grabbing to holding to a metaphorical ""holding in."" From Italian guanto ""glove"" (for a similar sense development native to Spanish, compare the Old Spanish phrase echar el guante, also meaning ""to grab""). Italian guanto was borrowed from either Old Occitan or Old French guant 'id.' From Frankish *want ""mitten."" 
                    From Proto-Germanic *wantu- 'id.' Derived from *windan- ""to wind,"" ""to wrap."" From Proto-Indo-European *u̯éndh-e- 'id.' 
 

Indo-European




Italic
Umbrian uend- ""to turn""


Germanic
Gothic *bi-windan ""to wind,"" Old Norse vǫttr ""mitten,"" Old Saxon windan ""to turn,"" Old High German wintan ""to wind,"" Middle Dutch wante ""mitten,"" English wind


Armenian
Armenian gind ""ring""


Tocharian
A wänt- ""to cover,"" B wänt- 'id.'

 
Indo-European

 
Italic
Umbrian uend- ""to turn""
 
Germanic
Gothic *bi-windan ""to wind,"" Old Norse vǫttr ""mitten,"" Old Saxon windan ""to turn,"" Old High German wintan ""to wind,"" Middle Dutch wante ""mitten,"" English wind
 
Armenian
Armenian gind ""ring""
 
Tocharian
A wänt- ""to cover,"" B wänt- 'id.'",16th cent.,Italian,Verb
112,ah,"ah
                  
                  
                  (Interjection)
                  Denotes surprise or pain akin to English ah!
 
                    First attested in the 15th cent. From Latin ah 'id.'
                    Onomatopoetic. Perhaps continued from Proto-Italic *ā 'id.' From Proto-Indo-European *eh2 'id.'
                 
                  Also used to mark a question. For example, ¿pero no fuiste a Peru, ah? ""but you didn't go to Peru, eh?"" Common across all Romance languages and regional dialects.",15th cent.,Latin,Interjection
113,ahechar,"ahechar
                  
                  
                  (Verb)
                  ""to sift (grain)""
               
                    Very early 15th cent. From Vulgar Latin *affactare ""to prepare."" From Latin affectare ""to strive after.""
                    From Proto-Italic *ad-fēk-tare 'id.,' composed of *ad- ""towards"" (see ad-), *fēk- ""to do,"" ""to make"" (see hacer) and the frequentative suffix *-tare (see note under faltar).
                 

Indo-European




Romance
Asturian afaitar, Portuguese afetar, Catalan afaitar, Italian affetare

 
Indo-European

 
Romance
Asturian afaitar, Portuguese afetar, Catalan afaitar, Italian affetare",15th cent.,Vulgar Latin,Verb
114,ahí,"ahí
                  
                  
                  (Adverb)
                  ""there""
               
                    13th cent. From Vulgar Latin *ad ibi ""toward there"" (whence Asturian ehí and Portuguese aí). Also note the Old Spanish variant hi, y (13th cent.), deriving directly from Latin ibi ""there"" (whence Asturian hí, Catalan hi, French y, Italian vi). For the etymology of *ad, see a.
                    Ibi is from Proto-Italic *iþei or *ifei meaning ""there."" From either *h1i̯-dhei̯ ""it there"" or *h1i̯-bhei̯ ""by means of it"" in Proto-Indo-European. A derivation from *h1i̯- ""it.""
                 

Indo-European




Romance
Asturian ehí, (dialects) hí, Portuguese aí, Catalan hi, French y, Italian vi


Italic
Umbrian ife ""there""


Indo-Iranian
Sanskrit idha ""here,"" Old Avestan idā 'id.'

 
Indo-European

 
Romance
Asturian ehí, (dialects) hí, Portuguese aí, Catalan hi, French y, Italian vi
 
Italic
Umbrian ife ""there""
 
Indo-Iranian
Sanskrit idha ""here,"" Old Avestan idā 'id.'",13th cent.,Vulgar Latin,Adverb
115,ahora,"ahora
                  
                  
                  (Adverb, Conjunction)
                  ""now""
               
                    Early 12th cent. Old Spanish agora, from Latin hac hora ""that hour"" (less literally ""this time""). For more information on Latin hac, see acá; for more information on Latin hora, see hora.
                    
                 

Indo-European




Romance
Asturian agora, Portuguese agora, Galician agora, Fala agora

 
Indo-European

 
Romance
Asturian agora, Portuguese agora, Galician agora, Fala agora",12th cent.,Old Spanish,Conjunction
116,aire,"aire
                  m.
                  
                  (Noun)
                  ""air""
               
                    13th cent. Old Spanish áere. From Latin aerem, accusative of aer 'id.' Borrowed from Ancient Greek ἀήρ ‎(aér) ""air"" but originally ""mist."" 
                    From Proto-Indo-European *h2eu̯s-er- ""morning mist,"" ""morning."" From *h2eu̯s- ""east,"" as the sun rises in the east to begin the morning.
                 
                  Also the origin of the surname Aires.
                 

Indo-European




Romance
Asturian aire, Portuguese ar, Galician ar, Catalan aire, Occitan aire, ària, Italian aria, Romanian aer, Aromanian aeru, Sardinian aera, àeri, àghera, àiri, ari, ària.


Hellenic
Aeolic αὔηρ (ayer)

 
Indo-European

 
Romance
Asturian aire, Portuguese ar, Galician ar, Catalan aire, Occitan aire, ària, Italian aria, Romanian aer, Aromanian aeru, Sardinian aera, àeri, àghera, àiri, ari, ària.
 
Hellenic
Aeolic αὔηρ (ayer)",13th cent.,Old Spanish,Noun
117,ajedrez,"ajedrez
                  m.
                  
                  (Noun)
                  ""chess""
               
                    13th cent. From Andalusian Arabic al-šaṭranǧ 'id.,' from Arabic šaṭranj 'id.' Borrowed from Sanskrit chatur-anga lit. ""four-limbed."" As Corominas (1987) wrote, the Sanskrit name is ""aludiendo a las cuatro armas del ejército índico - infantería, caballería, elefantes, y carros de combate - simbolizadas, respectivamente, por los peones, caballos, alfiles, y torres."" 
                    
                 

Indo-European




Romance
Asturian axedrez

 
Indo-European

 
Romance
Asturian axedrez",13th cent.,Andalusian Arabic,Noun
118,ajeno,"ajeno
                  
                  
                  (Adjective)
                  ""of another's;"" ""alien""
               
                    12th cent. Old Spanish ageno. From Latin alienus 'id.'
                    From Proto-Italic *aliai-no- ""another."" A decausative from *aliai- ""elsewhere.' From Proto-Indo-European *h2el-i̯o-i̯, locative of *h2el-i̯o- ""another.""
                 

Indo-European




Romance
Mozarabic alyenu, Asturian ayenu, Portuguese alheio, Galician alleo, Catalan aliè, Italian alieno, Sardinian allenu ""another's""


Italic
South Picene alies ""of another""


Celtic
Old Irish aile ""other,"" Breton eil 'id.'


Germanic
Gothic alja- ""but,"" aljius, Old English elles (English else)


Hellenic
Ancient Greek ἄλλος (állos) ""other""


Armenian
Armenian ayl, from *h2el-i̯o with contamination from Hurro-Urartian uli- ""other""


Indo-Iranian
Sanskrit áraṇa- ""strange""


Tocharian
A ālak, B alye-k

 
Indo-European

 
Romance
Mozarabic alyenu, Asturian ayenu, Portuguese alheio, Galician alleo, Catalan aliè, Italian alieno, Sardinian allenu ""another's""
 
Italic
South Picene alies ""of another""
 
Celtic
Old Irish aile ""other,"" Breton eil 'id.'
 
Germanic
Gothic alja- ""but,"" aljius, Old English elles (English else)
 
Hellenic
Ancient Greek ἄλλος (állos) ""other""
 
Armenian
Armenian ayl, from *h2el-i̯o with contamination from Hurro-Urartian uli- ""other""
 
Indo-Iranian
Sanskrit áraṇa- ""strange""
 
Tocharian
A ālak, B alye-k",12th cent.,Old Spanish,Adjective
